City,FAA,IATA,ICAO,Airport,Role,Enplanements
San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,"4,179,994"
Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,"4,216,766"
Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,"4,239,261"
Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,"4,670,954"
Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,"4,969,366"
Orange County,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,"5,217,242"
San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,"5,321,603"
Kansas City,MCI,MCI,KMCI,Kansas City International Airport (originally Mid-Continent International Airport),P-M,"5,391,557"
Raleigh,RDU,RDU,KRDU,Raleigh-Durham International Airport,P-M,"5,401,714"
New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,"5,569,705"
Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,"5,934,639"
Austin,AUS,AUS,KAUS,Austin-Bergstrom International Airport,P-M,"6,095,545"
Houston,HOU,HOU,KHOU,William P. Hobby Airport,P-M,"6,285,181"
Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-M,"6,338,517"
St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,"6,793,076"
Dallas,DAL,DAL,KDAL,Dallas Love Field,P-M,"7,554,596"
Portland,PDX,PDX,KPDX,Portland International Airport,P-L,"9,071,154"
Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,"9,194,994"
"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,"9,656,340"
San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,"10,340,164"
"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,"10,596,942"
Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,"11,044,387"
Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,"11,143,738"
"Washington, D.C. / Arlington County",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,"11,470,854"
Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,P-L,"13,371,816"
Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,"14,263,270"
New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,"14,614,802"
Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,"15,285,948"
Detroit,DTW,DTW,KDTW,Detroit Metropolitan Airport,P-L,"16,847,135"
Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,"17,759,044"
Minneapolis,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field),P-L,"18,123,844"
New York / Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,"19,923,009"
Houston,IAH,IAH,KIAH,George Bush Intercontinental Airport,P-L,"20,062,072"
Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,"20,283,541"
Miami,MIA,MIA,KMIA,Miami International Airport,P-L,"20,875,813"
Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,"20,896,265"
Charlotte,CLT,CLT,KCLT,Charlotte/Douglas International Airport,P-L,"21,511,880"
Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,"21,887,110"
Las Vegas,LAS,LAS,KLAS,McCarran International Airport,P-L,"22,833,267"
San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,"25,707,101"
Denver,DEN,DEN,KDEN,Denver International Airport,P-L,"28,267,394"
New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,"29,533,154"
Dallas,DFW,DFW,KDFW,Dallas/Fort Worth International Airport,P-L,"31,283,579"
Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,"37,589,899"
Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,"39,636,042"
Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,"50,501,858"
